key,variant,source_value,fr_target,de_target,ja_target,ko_target,es_target
activity.burnCalories,,Burn calories,,,,,
activity.burnTitle,,Burned,,,,,
activity.dailySteps,,Daily steps,,,,,
activity.delete.title,,Delete Activity,,,,,
activity.deleteWorkoutDescription,,You won't see this workout again.,,,,,
activity.deleteWorkoutTitle,,Delete workout?,,,,,
activity.duration,,Duration,,,,,
activity.empty,,"No
Activity",,,,,
activity.examplePlaceholder,,e.g. Surfing,,,,,
activity.exercise,,Exercise,,,,,
activity.exerciseBurn,,Exercise burn,,,,,
activity.exercises,,Exercises,,,,,
activity.log,,Log Exercise,,,,,
activity.loggedExercises,,Logged Exercises,,,,,
activity.name,,Activity name,,,,,
activity.searchPlaceholder,,Search activity,,,,,
activity.title,,Activity,,,,,
chooseLanguage.country.english,,English,,,,,
chooseLanguage.country.french,,French,,,,,
chooseLanguage.country.Germany,,Germany,,,,,
chooseLanguage.country.japanese,,Japanese,,,,,
chooseLanguage.country.korean,,Korean,,,,,
chooseLanguage.country.spanish,,Spanish,,,,,
chooseLanguage.country.vietnamese,,Vietnamese,,,,,
chooseLanguage.title,,Language,,,,,
common.add,,Add,,,,,
common.apply,,Apply,,,,,
common.applyChange,,Apply Change,,,,,
common.back,,Back,,,,,
common.cancel,,Cancel,,,,,
common.close,,Close,,,,,
common.confirm,,Confirm,,,,,
common.continue,,Continue,,,,,
common.custom,,Custom,,,,,
common.delete,,Delete,,,,,
common.discoverNow,,Discover Now,,,,,
common.done,,Done,,,,,
common.edit,,Edit,,,,,
common.filter,,Filters,,,,,
common.generate,,Generate,,,,,
common.gotIt,,Got it,,,,,
common.level.high,,High,,,,,
common.level.light,,Light,,,,,
common.level.low,,Low,,,,,
common.level.moderate,,Moderate,,,,,
common.logMore,,Log More,,,,,
common.more,,More,,,,,
common.next,,Next,,,,,
common.noData,,No Data,,,,,
common.noItemMatching,,"No matching %1$@ found.
Try searching with different keywords.",,,,,
common.ok,,OK,,,,,
common.paste,,Paste,,,,,
common.remove,,Remove,,,,,
common.reset,,Reset,,,,,
common.retake,,Retake,,,,,
common.retry,,Retry,,,,,
common.save,,Save,,,,,
common.skip,,Skip,,,,,
common.today,,Today,,,,,
common.tryAgain,,Try again,,,,,
common.unit.hour,,common.unit.hour,,,,,
common.unit.hour,plural.one,%lld hour,,,,,
common.unit.hour,plural.other,%lld hours,,,,,
common.unit.minute,,common.unit.minute,,,,,
common.unit.minute,plural.one,%lld minute,,,,,
common.unit.minute,plural.other,%lld minutes,,,,,
common.unsavedChanges.description,,"If you leave now, your updated information and goals won't be saved.",,,,,
common.unsavedChanges.title,,Leave without saving?,,,,,
common.yesterday,,Yesterday,,,,,
daily.recommendations,,Daily Recommendations,,,,,
daily.suggestedRoutine,,Suggested Routine,,,,,
daily.todaySoFar,,Today So Far,,,,,
daily.watchOutFor,,Watch Out For,,,,,
error.generic,,An error occurred,,,,,
error.noInternetDescription,,Please check your internet connection and try again.,,,,,
error.noInternetTitle,,No Connection,,,,,
health.criticalHigh,,Critical High,,,,,
health.criticalLow,,Critical Low,,,,,
insight.error.loadFailed,,Insight Didn't Load,,,,,
insight.generate,,Generate Insight,,,,,
insight.generating,,Generating AI insights,,,,,
insight.notReadyDescription,,"Your personalized insight isn't ready yet.
We're analyzing your data to deliver
 meaningful recommendations",,,,,
insight.readyTitle,,Today's Insight Ready,,,,,
insight.title,,AI Daily Insight,,,,,
meal.analyze,,Analyze,,,,,
meal.analyzing.detectingItems,,Detecting food items...,,,,,
meal.analyzing.finalizing,,Finalizing details...,,,,,
meal.analyzing.processing,,Processing...,,,,,
meal.analyzing.ready,,Ready to analyze,,,,,
meal.analyzing.searchingMatch,,Searching for the best match...,,,,,
meal.cameraTip.foodPosition,,Position your food inside the square and capture a clear photo showing as many ingredients as possible.,,,,,
meal.cameraTip.fullLabel,,Capture the full label,,,,,
meal.cameraTip.nutritionFactsPanel,,"Ensure the entire Nutrition Facts panel is visible and clear, from serving sizes to macro details.",,,,,
meal.cameraTip.title,,Bur,,,,,
meal.container.bento,,Bento Box,,,,,
meal.container.bentoShort,,Bento,,,,,
meal.container.bowl,,Bowl,,,,,
meal.container.cup,,Cup,,,,,
meal.container.plate,,Plate,,,,,
meal.container.takeout,,Takeout Box,,,,,
meal.container.takeoutShort,,Takeout,,,,,
meal.delete.description,,You won't see this meal again.,,,,,
meal.delete.title,,Delete meal?,,,,,
meal.describePlaceholder,,Describe your ideal meal (Optional),,,,,
meal.detailMealHelp,,Detail your meal to help AI analyze more accurately (Optional),,,,,
meal.discard.action,,Discard Anyway,,,,,
meal.discard.description,,Your current meal analysis hasn't been saved yet.,,,,,
meal.discard.title,,Discard this meal?,,,,,
meal.edit.title,,Edit Meal,,,,,
meal.empty,,"No
Meal",,,,,
meal.error.unrecognizedFoodDescription,,Make sure the item is in focus and try again.,,,,,
meal.error.unrecognizedFoodTitle,,Couldn't Recognize Food,,,,,
meal.exceedsDailyCalories,,Exceeds your remaining daily calories.,,,,,
meal.fitsDailyCalories,,Fits your estimated calories,,,,,
meal.fitsYou,,Fits You,,,,,
meal.foodName,,Name of food,,,,,
meal.labelOption,,Label,,,,,
meal.log,,Log Meal,,,,,
meal.loggedMeals,,Logged Meals,,,,,
meal.mealName,,Name of meal,,,,,
meal.mealOption,,Meal,,,,,
meal.size.estimated,,Estimated Meal Size,,,,,
meal.size.select,,Select size,,,,,
meal.size.title,,Meal Size,,,,,
meal.type.breakfast,,Breakfast,,,,,
meal.type.dinner,,Dinner,,,,,
meal.type.lunch,,Lunch,,,,,
meal.type.snack,,Snack,,,,,
meal.typeMealPlaceholder,,Type your meal,,,,,
meal.yourMeal,,Your Meal,,,,,
mealReview.generate,,Generate Review,,,,,
mealReview.generateInsight,,Generate Insight,,,,,
mealReview.generating,,"Reviewing today's meals and
 creating insights for you...",,,,,
mealReview.notReadyDescription,,Your meal review isn't ready yet. We're analyzing the nutrition and balance of your meal to provide accurate feedback.,,,,,
mealReview.shortReview,,Short review,,,,,
mealReview.title,,Meal Review,,,,,
nutrition.bmi.current,,Your BMI: %@,,,,,
nutrition.bmi.explanation,,"Body Mass Index is a standard measurement of body fat based on height and weight, calculated according to WHO guidelines.",,,,,
